ocel_event_id;ocel_IoT_object_id;ocel_qualifier
trs_entrytr31;rfidPCHSPX;RFID tag read at entrance
check_abnormalitytr37;rfidCNJHRI;RFID tag read at empty truck weighing
weigh_empty_trucktr38;WS16;Weight sensor for empty truck weighing
check_abnormalitytr38;rfidSETHFQ;RFID tag read at empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr25;rfidZPKIJB;RFID tag read at entrance
trs_entrytr27;rfidOGWMQM;RFID tag read at entrance
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr25;WS04;Weight sensor for empty truck weighing
weigh_empty_trucktr27;WS15;Weight sensor for empty truck weighing
trs_entrytr11;rfidAGFLBP;RFID tag read at entrance
check_abnormalitytr27;rfidOGWMQM;RFID tag read at empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr11;WS12;Weight sensor for empty truck weighing
weigh_empty_trucktr31;WS11;Weight sensor for empty truck weighing
trs_entrytr48;rfidILUGGL;RFID tag read at entrance
trs_entrytr28;rfidRLRDIX;RFID tag read at entrance
trs_entrytr21;rfidRJSTWE;RFID tag read at entrance
weigh_empty_trucktr48;WS20;Weight sensor for empty truck weighing
trs_entrytr36;rfidVKTBCE;RFID tag read at entrance
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr28;WS14;Weight sensor for empty truck weighing
weigh_empty_trucktr21;WS18;Weight sensor for empty truck weighing
check_abnormalitytr28;rfidRLRDIX;RFID tag read at empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr48;rfidILUGGL;RFID tag read at empty truck weighing
check_abnormalitytr21;rfidRJSTWE;RFID tag read at empty truck weighing
weigh_empty_trucktr36;WS02;Weight sensor for empty truck weighing
check_abnormalitytr25;rfidZPKIJB;RFID tag read at empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr31;rfidPCHSPX;RFID tag read at empty truck weighing
trs_entrytr16;rfidTVEOGG;RFID tag read at entrance
check_abnormalitytr11;rfidAGFLBP;RFID tag read at empty truck weighing
trs_entrytr42;rfidWKFZQT;RFID tag read at entrance
weigh_empty_trucktr42;WS10;Weight sensor for empty truck weighing
trs_entrytr44;rfidDUQTMP;RFID tag read at entrance
check_abnormalitytr42;rfidWKFZQT;RFID tag read at empty truck weighing
weigh_empty_trucktr16;WS19;Weight sensor for empty truck weighing
weigh_empty_trucktr44;WS03;Weight sensor for empty truck weighing
trs_entrytr19;rfidSHHSUU;RFID tag read at entrance
check_abnormalitytr36;rfidVKTBCE;RFID tag read at empty truck weighing
weigh_empty_trucktr19;WS14;Weight sensor for empty truck weighing
trs_entrytr49;rfidETADML;RFID tag read at entrance
trs_entrytr9;rfidAIKMVD;RFID tag read at entrance
weigh_empty_trucktr9;WS08;Weight sensor for empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr9;rfidAIKMVD;RFID tag read at empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr16;rfidTVEOGG;RFID tag read at empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr44;rfidDUQTMP;RFID tag read at empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr19;rfidSHHSUU;RFID tag read at empty truck weighing
weigh_empty_trucktr49;WS04;Weight sensor for empty truck weighing
check_abnormalitytr49;rfidETADML;RFID tag read at empty truck weighing
trs_entrytr24;rfidPGFJDN;RFID tag read at entrance
weigh_empty_trucktr24;WS18;Weight sensor for empty truck weighing
trs_entrytr5;rfidSFXKWU;RFID tag read at entrance
trs_entrytr32;rfidAMDUNM;RFID tag read at entrance
trs_entrytr33;rfidRGOUFR;RFID tag read at entrance
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr24;rfidPGFJDN;RFID tag read at empty truck weighing
trs_entrytr7;rfidVERXCO;RFID tag read at entrance
weigh_empty_trucktr5;WS01;Weight sensor for empty truck weighing
trs_entrytr20;rfidEHPECQ;RFID tag read at entrance
weigh_empty_trucktr32;WS10;Weight sensor for empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr33;WS08;Weight sensor for empty truck weighing
trs_entrytr15;rfidPQEPJB;RFID tag read at entrance
trs_entrytr50;rfidJLHJTQ;RFID tag read at entrance
weigh_empty_trucktr50;WS03;Weight sensor for empty truck weighing
trs_entrytr10;rfidNJVBRP;RFID tag read at entrance
weigh_empty_trucktr10;WS02;Weight sensor for empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr50;rfidJLHJTQ;RFID tag read at empty truck weighing
check_abnormalitytr10;rfidNJVBRP;RFID tag read at empty truck weighing
weigh_empty_trucktr15;WS11;Weight sensor for empty truck weighing
trs_entrytr3;rfidGKLNHW;RFID tag read at entrance
weigh_empty_trucktr7;WS06;Weight sensor for empty truck weighing
check_abnormalitytr5;rfidSFXKWU;RFID tag read at empty truck weighing
check_abnormalitytr32;rfidAMDUNM;RFID tag read at empty truck weighing
check_abnormalitytr15;rfidPQEPJB;RFID tag read at empty truck weighing
weigh_empty_trucktr20;WS20;Weight sensor for empty truck weighing
check_abnormalitytr33;rfidRGOUFR;RFID tag read at empty truck weighing
trs_entrytr13;rfidARBJWY;RFID tag read at entrance
trs_entrytr29;rfidDXYTZF;RFID tag read at entrance
weigh_empty_trucktr13;WS09;Weight sensor for empty truck weighing
check_abnormalitytr7;rfidVERXCO;RFID tag read at empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr3;WS18;Weight sensor for empty truck weighing
trs_entrytr2;rfidECBYOS;RFID tag read at entrance
weigh_empty_trucktr29;WS11;Weight sensor for empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr13;rfidARBJWY;RFID tag read at empty truck weighing
check_abnormalitytr20;rfidEHPECQ;RFID tag read at empty truck weighing
weigh_empty_trucktr2;WS16;Weight sensor for empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr3;rfidGKLNHW;RFID tag read at empty truck weighing
check_abnormalitytr2;rfidECBYOS;RFID tag read at empty truck weighing
trs_entrytr47;rfidZIMVBU;RFID tag read at entrance
trs_entrytr41;rfidHTVXVN;RFID tag read at entrance
check_abnormalitytr29;rfidDXYTZF;RFID tag read at empty truck weighing
trs_entrytr17;rfidRSRUSS;RFID tag read at entrance
weigh_empty_trucktr41;WS02;Weight sensor for empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr47;WS03;Weight sensor for empty truck weighing
trs_entrytr39;rfidWOXYMT;RFID tag read at entrance
trs_entrytr46;rfidSQRAVV;RFID tag read at entrance
trs_entrytr43;rfidKCZYCR;RFID tag read at entrance
check_abnormalitytr47;rfidZIMVBU;RFID tag read at empty truck weighing
weigh_empty_trucktr39;WS14;Weight sensor for empty truck weighing
weigh_empty_trucktr17;WS01;Weight sensor for empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr46;WS11;Weight sensor for empty truck weighing
check_abnormalitytr41;rfidHTVXVN;RFID tag read at empty truck weighing
weigh_empty_trucktr43;WS09;Weight sensor for empty truck weighing
check_abnormalitytr39;rfidWOXYMT;RFID tag read at empty truck weighing
trs_entrytr14;rfidXBNNKM;RFID tag read at entrance
check_abnormalitytr46;rfidSQRAVV;RFID tag read at empty truck weighing
check_abnormalitytr17;rfidRSRUSS;RFID tag read at empty truck weighing
check_abnormalitytr43;rfidKCZYCR;RFID tag read at empty truck weighing
weigh_empty_trucktr14;WS19;Weight sensor for empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr22;rfidQAZFOJ;RFID tag read at entrance
check_abnormalitytr14;rfidXBNNKM;RFID tag read at empty truck weighing
weigh_empty_trucktr22;WS02;Weight sensor for empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr22;rfidQAZFOJ;RFID tag read at empty truck weighing
trs_entrytr12;rfidIDSLBJ;RFID tag read at entrance
weigh_loaded_trucktr35;WS12;Weight sensor for loaded truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr12;WS05;Weight sensor for empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr6;rfidVIJCAW;RFID tag read at entrance
trs_entrytr19;rfidSHHSUU;RFID tag read at entrance
weigh_empty_trucktr6;WS02;Weight sensor for empty truck weighing
weigh_loaded_trucktr38;WS09;Weight sensor for loaded truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr12;rfidIDSLBJ;RFID tag read at empty truck weighing
determine_continuanceSilo5;Temp5;Temperature sensor for determining the pickup continuation
determine_continuanceSilo5;Humd5;Humidity sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp13;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp14;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo5;GrainTemp15;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr18;WS14;Weight sensor for loaded truck weighing
weigh_empty_trucktr19;WS16;Weight sensor for empty truck weighing
check_abnormalitytr6;rfidVIJCAW;RFID tag read at empty truck weighing
trs_entrytr48;rfidILUGGL;RFID tag read at entrance
weigh_loaded_trucktr23;WS07;Weight sensor for loaded truck weighing
weigh_loaded_trucktr44;WS12;Weight sensor for loaded truck weighing
weigh_empty_trucktr48;WS17;Weight sensor for empty truck weighing
check_abnormalitytr19;rfidSHHSUU;RFID tag read at empty truck weighing
trs_entrytr21;rfidRJSTWE;RFID tag read at entrance
weigh_loaded_trucktr9;WS09;Weight sensor for loaded truck weighing
weigh_empty_trucktr21;WS01;Weight sensor for empty truck weighing
weigh_loaded_trucktr25;WS11;Weight sensor for loaded truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr48;rfidILUGGL;RFID tag read at empty truck weighing
trs_entrytr16;rfidTVEOGG;RFID tag read at entrance
trs_entrytr1;rfidGBSJOX;RFID tag read at entrance
weigh_empty_trucktr16;WS09;Weight sensor for empty truck weighing
weigh_empty_trucktr1;WS18;Weight sensor for empty truck weighing
check_abnormalitytr16;rfidTVEOGG;RFID tag read at empty truck weighing
check_abnormalitytr1;rfidGBSJOX;RFID tag read at empty truck weighing
weigh_loaded_trucktr11;WS14;Weight sensor for loaded truck weighing
trs_entrytr30;rfidWVBFTX;RFID tag read at entrance
trs_entrytr37;rfidCNJHRI;RFID tag read at entrance
check_abnormalitytr21;rfidRJSTWE;RFID tag read at empty truck weighing
weigh_loaded_trucktr4;WS20;Weight sensor for loaded truck weighing
weigh_loaded_trucktr8;WS09;Weight sensor for loaded truck weighing
weigh_loaded_trucktr27;WS15;Weight sensor for loaded truck weighing
trs_entrytr15;rfidPQEPJB;RFID tag read at entrance
weigh_empty_trucktr15;WS05;Weight sensor for empty truck weighing
trs_entrytr34;rfidPEHJWR;RFID tag read at entrance
weigh_empty_trucktr34;WS10;Weight sensor for empty truck weighing
weigh_loaded_trucktr13;WS02;Weight sensor for loaded truck weighing
trs_entrytr42;rfidWKFZQT;RFID tag read at entrance
check_abnormalitytr34;rfidPEHJWR;RFID tag read at empty truck weighing
trs_entrytr32;rfidAMDUNM;RFID tag read at entrance
weigh_loaded_trucktr45;WS15;Weight sensor for loaded truck weighing
weigh_empty_trucktr32;WS07;Weight sensor for empty truck weighing
determine_continuanceSilo17;Temp17;Temperature sensor for determining the pickup continuation
determine_continuanceSilo17;Humd17;Humidity sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp49;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp50;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp51;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr30;WS08;Weight sensor for empty truck weighing
weigh_empty_trucktr37;WS03;Weight sensor for empty truck weighing
trs_entrytr24;rfidPGFJDN;RFID tag read at entrance
determine_continuanceSilo19;Temp19;Temperature sensor for determining the pickup continuation
determine_continuanceSilo19;Humd19;Humidity sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp55;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp56;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp57;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr37;rfidCNJHRI;RFID tag read at empty truck weighing
weigh_loaded_trucktr40;WS20;Weight sensor for loaded truck weighing
weigh_empty_trucktr24;WS16;Weight sensor for empty truck weighing
trs_entrytr20;rfidEHPECQ;RFID tag read at entrance
check_abnormalitytr15;rfidPQEPJB;RFID tag read at empty truck weighing
check_abnormalitytr24;rfidPGFJDN;RFID tag read at empty truck weighing
check_abnormalitytr30;rfidWVBFTX;RFID tag read at empty truck weighing
trs_entrytr46;rfidSQRAVV;RFID tag read at entrance
trs_entrytr7;rfidVERXCO;RFID tag read at entrance
determine_continuanceSilo11;Temp11;Temperature sensor for determining the pickup continuation
determine_continuanceSilo11;Humd11;Humidity sensor for determining the pickup continuation
determine_continuanceSilo11;GrainTemp31;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo11;GrainTemp32;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo11;GrainTemp33;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr46;WS12;Weight sensor for empty truck weighing
weigh_empty_trucktr42;WS18;Weight sensor for empty truck weighing
trs_entrytr3;rfidGKLNHW;RFID tag read at entrance
check_abnormalitytr46;rfidSQRAVV;RFID tag read at empty truck weighing
check_abnormalitytr42;rfidWKFZQT;RFID tag read at empty truck weighing
weigh_empty_trucktr7;WS17;Weight sensor for empty truck weighing
check_abnormalitytr32;rfidAMDUNM;RFID tag read at empty truck weighing
weigh_loaded_trucktr26;WS04;Weight sensor for loaded truck weighing
weigh_empty_trucktr3;WS13;Weight sensor for empty truck weighing
weigh_empty_trucktr20;WS11;Weight sensor for empty truck weighing
determine_continuanceSilo17;Temp17;Temperature sensor for determining the pickup continuation
determine_continuanceSilo17;Humd17;Humidity sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp49;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp50;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp51;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_trucktr33;WS08;Weight sensor for loaded truck weighing
